A British officer
A Californian
A. L. O. E.
Aaberg, J. C.
Aakjær, Jeppe
Aaltio, Valto Edward
Aandahl, Vance
Aanrud, Hans
Aaron, S. F.
Aaronsohn, Alexander
Abba, Giuseppe Cesare
Abbadie, Arnauld d'
Abbe, Ernst
Abbey, Charles J.
Abbey, Henry
Abbot, Francis Ellingwood
Abbot, Robert, cook
Abbot, Willis J.
Abbott, Belle K.
Abbott, Charles C.
Abbott, Edwin Abbott
Abbott, Eleanor Hallowell
Abbott, Ernest Hamlin
Abbott, Frank Frost
Abbott, G. F.
Abbott, Henry
Abbott, Jacob
Abbott, Jane
Abbott, John Loraine
Abbott, John S. C.
Abbott, Keene
Abbott, L. A.
Abbott, Lemuel Abijah
Abbott, Lyman
Abbott, Wilbur Cortez
Abdullah, Achmed
Abel, Annie Heloise
Abel, Barbara
Abel, Franklin
Abelard, Peter
Abell, Francis
Abercrombie, John
Abercrombie, Lascelles
Aberigh-Mackay, George
Abernathy, Robert
Abert, S. T.
Abhedananda, Swami
Abkoude, Christiaan van
Abney, William de Wiveleslie, Sir
Abonyi, Árpád
About, Edmond
Abraham, Ashley Perry
Abraham, Karl
Abrahams, Ethel Beatrice
Abrahams, Israel
Abram, Edward
Abrams, Alex. St. Clair
Abrantès, Laure Junot, duchesse d'
Abreu, Francisco Jorge de
Abreu, G. de Vasconcellos
Abrojal, Tulis
Abtei Heiligenkreuz
Academy of Political Science in the City of New York
Accum, Friedrich Christian
Acerbi, Giuseppe
Achard, Amédée
Achenwall, Gottfried
Acheson, Arthur
Achilles Tatius
Achilli, Giacinto
Achleitner, Arthur
Achrenius, Henrik
Ackerman, Carl W.
Ackerman, Forrest J.
Ackerman, Phyllis
Ackermann, Henry Andrew
Ackland, T. S.
Acland, Charles
Acland, John Edward
Aconite, Tobias
Acosta, José de
Acton, Eliza
Acton, Harold
Acton, John Emerich Edward Dalberg Acton, Baron
Adair, James
Adam, Adolphe
Adam, G. Mercer
Adam, Juliette
Adam, Paul
Adama van Scheltema, Carel Steven
Adams, Abigail
Adams, Adeline
Adams, Alton D.
Adams, Andy
Adams, Bernard
Adams, Brooks
Adams, Charles C.
Adams, Charles Francis
Adams, Charles Kendall
Adams, Clifford R.
Adams, Constance Louisa
Adams, E. E.
Adams, Edward
Adams, Edward F.
Adams, Ellinor Davenport
Adams, Ephraim Douglass
Adams, F. Colburn
Adams, Francis
Adams, Francis A.
Adams, Franklin P.
Adams, Frederick Upham
Adams, George
Adams, George Burton
Adams, H. A., Mrs.
Adams, H. C.
Adams, H. G.
Adams, H. S.
Adams, Hannah
Adams, Henry
Adams, Henry Charles
Adams, I. William
Adams, J. S., Mrs.
Adams, James Meade
Adams, James R.
Adams, James Truslow
Adams, John
Adams, John Coleman
Adams, John G.
Adams, John G. B.
Adams, John Quincy
Adams, John S.
Adams, John Turvill
Adams, Joseph H.
Adams, Joseph Quincy
Adams, Katharine
Adams, Morley
Adams, Nehemiah
Adams, O. S.
Adams, Oscar Fay
Adams, Otto H.
Adams, Robert C.
Adams, Samuel
Adams, Samuel Hopkins
Adams, Samuel, servant
Adams, Sarah
Adams, Sherred Willcox
Adams, Thomas W.
Adams, W. A.
Adams, W. H. Davenport
Adams, William Davenport
Adams, William Llewellyn
Adamski, George
Adcock, Arthur St. John
Adcock, K. J.
Addams, Jane
Addeman, Joshua M.
Adderup, Andrew
Addison, A. C.
Addison, Alvin
Addison, C. G.
Addison, Daniel Dulany
Addison, Joseph
Addison, Julia de Wolf
Addleshaw, Percy
Ade, George
Adeney, Walter F.
Ader, Guillaume
Adkins, W. Bion
Adlam, George Henry Joseph
Adler, Cyrus
Adler, Felix
Adler, G. J.
Adler, Lewis H., Jr.
Adler, María Raquel
Adlercreutz, Gustav Magnus
Adlersfeld-Ballestrem, Eufemia von
Adney, Tappan
Adolph, Anna
Adossidès, A.
Aduarte, Diego
Ady, Endre
Adye, John, Sir
Adye, Ralph Willett
Aejmelaeus, Niilo
Aelfric, Abbot of Eynsham
Afanas'ev, A. N.
Affonso Celso, Affonso Celso de Assis Figueiredo, conde de
Aflalo, Frederick G.
Afton, Effie
Agassis, F. J.
Agassiz, Alexander
Agassiz, Elizabeth Cabot Cary
Agassiz, Louis
Agee, Alva
Agee, George W.
Agg, T. R.
Agnel, Émile
Agnes, Sister
Agnew, W. P.
Agostinho, José
Agrell, Alfhild
Agricola, Georg
Agrippa, Camillo
Agrippa, J.
Aguilar, Grace
Aguinaldo, Emilio
Ahad Ha'am
Ahlborn, Richard E.
Ahlefeld, Charlotte von
Ahlqvist, August
Ahn, F.
Aho, Juhani
Aho, Kalle
Aho, Pekka
Ahrenberg, Jacob
Aicard, Jean
Aiken, Albert W.
Aiken, Conrad
Aiken, Ednah
Aiken, George L.
Aikens, Charlotte A.
Aikin, John
Aikin, Lucy
Aikio, Matti
Aikman, Charles Morton
Aikman, James
Aikman, William
Ailio, Julius Edvard
Aimard, Gustave
Aimel, Georges
Aimwell, Walter
Ainger, Alfred
Ainian, Demetrios
Ainslie, Arthur
Ainsworth, Percy C.
Ainsworth, William Harrison
Airola, Väinö
Airy, George Biddell
Aitken, Edward Hamilton
Aitken, Robert
Ajalbert, Jean
Akeley, Carl Ethan
Akenside, Mark
Akiander, Matthias
Akin, Florence
Akins, Thomas B.
Aksakov, S. T.
Akutagawa, Ryunosuke
AlHydar, Majid
Alabama Museum of Natural History
Aladel, Jean-Marie
Aladern, Josep
Alanic, Mathilde
Alarcón, Pedro Antonio de
Alas, Leopoldo
Albalat, Antoine
Albee, John
Alberdingk Thijm, J. A.
Albergaria, António José da Costa Couto Sá de
Alberger, John
Albert, Edward
Albert, Prince Consort, consort of Victoria, Queen of Great Britain
Albertazzi, Adolfo
Alberti, Leon Battista
Alberti, Tommaso
Alberto da Silva, Caetano
Alberts, Edwin C.
Albertson, Catherine
Albertson, Ralph
Albrecht, K. von
Albuquerque, Medeiros e
Alby, Ernest
Alcock, Deborah
Alcott, Amos Bronson
Alcott, Louisa May
Alcott, William A.
Alden, Ellen Tracy
Alden, John B.
Alden, Raymond MacDonald
Alden, W. L.
Alder, W. F.
Alderman, L. R.
Alderson, Edward Hall, Sir
Alderson, Matthew W.
Aldington, Richard
Aldini, Giovanni
Aldrich, Anne Reeve
Aldrich, Eva
Aldrich, Mildred
Aldrich, Thomas Bailey
Aldridge, Janet
Alec-Tweedie, Mrs.
Alembert, Jean Le Rond d'
Alemán, Mateo
Alencar, José Martiniano de
Aleramo, Sibilla
Alessio, Piemontese
Aletrino, Arnold
Alexander Hamilton Institute
Alexander, A. S.
Alexander, Archibald
Alexander, Archibald B. D.
Alexander, Charles Wesley
Alexander, De Alva Stanwood
Alexander, Francesca
Alexander, Gross
Alexander, Hartley Burr
Alexander, James B.
Alexander, James W.
Alexander, John
Alexander, John L.
Alexander, Joseph H.
Alexander, Mrs.
Alexander, Virginia M.
Alexander, William
Alexander, William S.
Alexis, Willibald
Alfieri, Vittorio
Alford, George Howard
Alford, Henry
Alford, Marianne Margaret Compton Cust, Viscountess
Alfred A. Knopf, Inc.
Alfriend, Frank H.
Alfthan, Georg Edvard von
Alfthan, Johannes
Algard, George A.
Alger, Abby Langdon
Alger, Horatio, Jr.
Alger, John Goldworth
Alger, William Rounseville
Algie, R. M.
Ali Bey
Ali Haydar Mithat
Ali, Mohammed
Ali, Syed Ameer
Alice, Grand Duchess, consort of Ludwig IV, Grand Duke of Hesse-Darmstadt
Alison, Archibald, Sir
Alison, Somerville Scott
Alkio, Santeri
Allaben, Frank
Allain, Marcel
Allais, Alphonse
Allan, Francis
Allan, G. A. T.
Allan, James
Allan, Luke
Allan, P. B. M.
Allardyce, Paul
Allbut, Robert
Allbutt, T. Clifford
Allcott, John V.
Allen & Morton
Allen, C. F. H.
Allen, Charles Dexter
Allen, Charles Fletcher
Allen, E. P. S.
Allen, E. T.
Allen, Edith
Allen, Edith H.
Allen, Emory Adams
Allen, Ethan
Allen, F. G.
Allen, Frank Waller
Allen, G. F.
Allen, George
Allen, George Hoyt
Allen, Gladys
Allen, Glover M.
Allen, Grant
Allen, Harrison
Allen, Hervey
Allen, Horace Newton
Allen, Hugh
Allen, Isaac
Allen, J. A.
Allen, J. S. O., Mrs.
Allen, James
Allen, James Edgar
Allen, James Lane
Allen, Leland F.
Allen, Lewis F.
Allen, M.
Allen, Margaret
Allen, Martha Meir
Allen, P. S.
Allen, Percy
Allen, Phoebe
Allen, Quincy
Allen, Richard Lamb
Allen, Roland
Allen, Samuel
Allen, Stanton P.
Allen, Thomas Gaskell
Allen, Walter
Allen, William
Allen, William A.
Allen, William Barney
Allen, William Ferneley
Allen, William H.
Allen, Willis Boyd
Allerton, J. J.
Allerton, James M.
Alley, Henry
Allies, T. W.
Allingham, Hugh
Allingham, Margery
Allingham, William
Allinson, Anne C. E.
Allinson, Francis Greenleaf
Allinson, T. R.
Allison, John
Allison, Samuel B.
Allison, Young Ewing
Allnutt, Sidney
Allonby, Edith
Alloway, Mary Wilson
Allsop, Robert Owen
Allston, Washington
Allyn, Jack
Alma, Maude
Alma-Tadema, Laurence
Almack, Edward
Almada Negreiros, José de
Almario, Rosauro
Almberg, Emil August
Almeida Garrett, João Batista da Silva Leitão de Almeida Garrett, Visconde de
Almeida, António de
Almeida, Fialho de
Almeida, Júlia Lopes de
Almeida, Manuel de
Almirall, Valentí
Almqvist, C. J. L.
Alomar, Gabriel
Alonso de la Avecilla, Pablo
Alonso, Manuel A.
Alphen, Hieronymus van
Alpheus, A.
Alq, Louise d'
Alsaker, Rasmus Larssen
Alsen, Gutti
Alsop, George
Altamira, Rafael
Altamirano, Ignacio Manuel
Altenberg, Peter
Altham, Emmanuel
Altsheler, Joseph A.
Alvares, Francisco
Alvares, Rahul
Alvarez Guerra, Juan
Alvarez de Abreu, Antonio
Alvarez y Tejero, Luis Prudencio
Alvarez, Agustín
Alvarez, José S.
Alvarez, Ticul
Alverson, Margaret Blake
Alves dos Santos, Augusto Joaquim
Amabile, Luigi
Amado, Ismael A.
Amari, Michele
Ambedkar, B. R.
Amberley, John Russell, viscount
Ambient, Mark
Ambler, Henry Lovejoy
Ambrose, Saint, Bishop of Milan
Ambrus, Zoltán
American Academy of Political and Social Science
American Anti-Slavery Society
American Art Association
American Book Company
American Bureau of Engineering, Chicago
